

🇭🇰🇲🇴丨港澳台,#genre#
天映经典,http://120.84.96.135:808/hls/85/index.m3u8$高清1080P
天映经典,http://27.47.68.26:808/hls/62/index.m3u8$高清1080P
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8$标清576P
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8$高清720P
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8$高清720P
澳视Macau,http://61.244.22.4/ch3/ch3.live/playelist.m3u8$高清720P
澳视Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://61.244.22.4/ch3/ch3.live/index.m3u8$高清720P
澳视澳門,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8$高清720P
澳视澳門,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8$高清720P
澳门莲花,http://nettvpro.live/hls/lotustv.php$高清1080P
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8$高清1080P
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php$高清720P
澳视体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
AXM,http://iptv.everydaytv.top/taiwanlive.php?id=54$高清1080P
AXM,http://218.32.47.179:18558/.m3u8$高清1080P
CINEMAX,http://iptv.everydaytv.top/taiwanlive.php?id=55$高清1080P
TVBS新闻,rtmp://59.124.75.150/sat/tv551$高清720P
TVBS新闻,rtmp://59.124.75.138/sat/tv551$高清720P
TVBS欢乐,rtmp://59.124.75.150/sat/tv421$高清720P
TVBS欢乐,rtmp://59.124.75.138/sat/tv421$高清720P
私人影院,http://113.64.147.13:808/hls/57/index.m3u8$高清720P
东森综合,http://218.32.47.179:18524/.m3u8$高清1080P
东森新闻,http://iptv.everydaytv.top/taiwanlive.php?id=38$高清720P
东森财经,rtmp://59.124.75.150/sat/tv571$高清720P
东森财经,rtmp://59.124.75.138/sat/tv571$高清720P
东森财经,http://iptv.everydaytv.top/taiwanlive.php?id=44$高清720P
东森超视,rtmp://59.124.75.138:1935/sat/tv331$高清720P
东森超视,rtmp://59.124.75.150/sat/tv331$高清720P
东森电影,http://120.84.96.62:808/hls/32/index.m3u8$高清720P
东森洋片,http://gxfrg007.8800.org:8282/tsfile/live/1050_1.m3u8$标清576P
龙华偶像,http://iptv.everydaytv.top/taiwanlive.php?id=34$高清1080P
中天综合,http://218.32.47.179:18526/.m3u8$高清1080P
中天娱乐,http://218.32.47.179:18527/.m3u8$高清1080P
